stage,Endothelial_cell,Epithelial_cell,Goblet_cell,Hepatocyte,Immune_cell,Intestinal_bulb_cell,Keratinocyte,Mesenchymal_cell,Neural_cell,Neural_progenitor_cell,Radial_glia
24hpf,0,0,0,0,0,0,2,0,0,1,0
72hpf,0,0.28,0,0,0,0,0,0.28,0,0,0
21Day,0,1.48,0,0.37,0,0,2.22,0,0.37,0.37,0.37
3Month,0,0.31,0.1,0.21,0,0.21,0.21,0.21,0,0,0
22Month,0.14,0.55,0,0.27,0.14,0.14,0.14,0,0,0,0
