stage,Epithelial_cell,Hepatocyte,Keratinocyte,Mesenchymal_cell,Mesenchymal_cell__caudal_fin_,Nephron_cell,Pancreatic_cell,Primordial_germ_cell,Spermatocyte
21Day,0.37,0,0,0,0,0,0,0,0
3Month,0,0,0.1,0,0,0,0.1,0.21,0.21
22Month,0.14,0.27,0,0.14,0.14,0.14,0,0,0
