stage,Endothelial_cell,Enterocyte,Epithelial_cell,Erythrocyte__Liver_,Erythroid_progenitor_cell,Goblet_cell,Granulocyte,Granulosa_cell,Hepatocyte,Immune_cell,Immune_progenitor_cell,Intestinal_bulb_cell,Ionocyte,Keratinocyte,Macrophage,Mesenchymal_cell,Mesenchymal_cell__caudal_fin_,Mt_rich_cell,Muscle_cell,Nephron_cell,Neural_cell,Neural_progenitor_cell,Neurosecretory_cell,Oligodendrocyte,Pancreatic_cell,Primordial_germ_cell,Radial_glia,Smooth_muscle_cell,Spermatocyte,T_cell
24hpf,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
72hpf,0,0,0,0,0,0,0,0,0,0,0,0,0.56,0.28,0,0.28,0,0,0,0,0,0,0.28,0,0,0,0,0,0,0
21Day,0,0,0.37,0,0,0,0,0,0.37,0,0,0.37,0,0,0.74,0,0,0,0,0,0,0,0.74,0,0,0,0,0,0,0
3Month,0.1,2.7,10.71,0.1,0.1,13.31,0.42,0,1.98,0.62,0.1,52.32,0.1,1.04,8.01,0.31,0,0,4.37,0.42,0.1,0,1.25,0,0.62,0.62,0.42,0.1,0.73,0.62
22Month,0.41,2.87,7.65,0,0,8.88,0.55,0.27,4.24,0.82,0,52.61,0,0.14,2.46,0.96,0.14,0.14,4.51,0,0.14,0,1.64,0.14,0.41,0.55,0.14,0,0,0.41
