stage,Cardiomyocyte,Endothelial_cell,Enterocyte,Epithelial_cell,Erythrocyte,Erythrocyte__Liver_,Erythroid_progenitor_cell,Goblet_cell,Granulocyte,Granulosa_cell,Hepatocyte,Immune_cell,Immune_progenitor_cell,Intestinal_bulb_cell,Ionocyte,Keratinocyte,Macrophage,Mesenchymal_cell,Mt_rich_cell,Muscle_cell,Nephron_cell,Neural_cell,Neural_progenitor_cell,Neurosecretory_cell,Oligodendrocyte,Oocyte,Osteoblast,Pancreatic_cell,Primordial_germ_cell,Radial_glia,Retinal_cell,Retinal_cone_cell,Smooth_muscle_cell,Spermatocyte,T_cell
24hpf,1,2,0,23,2,0,0,0,0,0,0,0,0,0,1,0,0,9,0,0,0,1,86,0,0,0,0,0,0,0,0,0,0,0,0
72hpf,0.56,0,0,3.95,1.41,0,0,0,0,0,0,0,0,0,3.95,0.28,0,4.79,3.95,0,0,10.15,4.23,0,0,0,2.25,0.85,0,0.85,0.56,1.41,0,0,0
21Day,0.37,0,0,2.22,2.59,0,0.74,0,0,0,0.74,0,0,0,0.74,0,0,3.7,0,0.37,0,0.74,0.37,0,0,0,3.7,2.59,0,0.37,0.37,7.4,0,0,0.37
3Month,0,0.1,0.1,11.65,0,0,0.21,0.21,0.31,0.1,71.88,0.31,0.1,0.73,0.31,0.94,0.1,2.18,0,0.42,0.21,1.04,0.1,0.31,0.21,0,0.1,0.94,0.42,0,0,0,0.83,0.31,1.04
22Month,0,0.41,0.41,19.4,0,0.55,0.27,0.27,1.23,0.14,174.91,0.41,0.55,1.23,0.41,0.55,0.55,1.09,2.6,0.14,0,0.55,0,0.14,0.41,0.55,0,0.27,0.27,0.14,0.27,0,0,0,0.96
