stage,Cardiomyocyte,Endothelial_cell,Enterocyte,Epithelial_cell,Epithelial_cell__Brain_,Erythrocyte,Erythrocyte__Liver_,Erythroid_progenitor_cell,Granulocyte,Granulosa_cell,Hepatocyte,Immune_cell,Immune_progenitor_cell,Intestinal_bulb_cell,Ionocyte,Keratinocyte,Macrophage,Mesenchymal_cell,Mesenchymal_cell__caudal_fin_,Mt_rich_cell,Muscle_cell,Nephron_cell,Neural_cell,Neural_progenitor_cell,Neurosecretory_cell,Oligodendrocyte,Oocyte,Osteoblast,Pancreatic_cell,Primordial_germ_cell,Radial_glia,Retinal_cell,Retinal_cone_cell,Smooth_muscle_cell,Spermatocyte,T_cell
24hpf,3,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
72hpf,2.25,0,0,1.69,0,0.56,0,0,0,0,0,0,0,0,0.28,1.69,0,1.41,0,0.28,0,0,42.56,0.85,1.69,0,0,0.28,0,0,0.28,0,0.28,0,0,0
21Day,5.92,0.37,0,1.11,0.37,0.74,0,0.37,0.37,0,0,0,0.37,0.37,0,0.74,0.74,4.44,0,0.37,0,0,18.87,1.48,2.59,0.37,0,0.37,1.48,0,0.74,0,0.37,0,0,0
3Month,0.31,0.31,0.21,2.81,0,0,0.1,0.1,0.31,0,2.39,0.73,0,0.94,0.1,0.73,0.73,1.35,0.21,0.1,0.21,0.21,20.28,0.1,7.49,0.1,0,0.21,0.31,2.29,0.1,0,0,1.14,0.52,0.52
22Month,0.14,0.55,0.14,0.41,0,0,0.14,0,0.27,0.14,3.28,0,0,0,0,0.14,0,1.37,0,0.14,0,0.14,11.75,0,5.33,0,0.14,0,0,0,0,0.14,0,0.14,0,0.14
