stage,Endothelial_cell,Epithelial_cell,Erythrocyte,Erythroid_progenitor_cell,Fibroblast,Granulocyte,Hepatocyte,Immune_cell,Immune_progenitor_cell,Intestinal_bulb_cell,Keratinocyte,Macrophage,Mesenchymal_cell,Mesenchymal_cell__caudal_fin_,Muscle_cell,Neural_cell,Neural_progenitor_cell,Neurosecretory_cell,Oligodendrocyte,Osteoblast,Pancreatic_cell,Primordial_germ_cell,Retinal_pigment_epithelial_cell,Smooth_muscle_cell,T_cell
72hpf,0,0,0,0,0,0,0,0,0,0,0,0,2.54,0,0,0.28,0,0,0,2.82,0,0,0,0,0
21Day,0,1.85,1.11,0.37,0,0,0,0,0,0,0.37,0,76.96,0,0.37,1.48,0.37,0.37,0.37,12.58,1.85,0,0.37,0,0
3Month,0.21,0.21,0,0,0.31,0.1,0.1,0.1,0,0.1,0.1,0.42,9.67,0.31,0.1,0.1,0,0,0,0,0,0.21,0,0.1,0.31
22Month,0.14,0,0,0,0,0.41,1.09,0.14,0.27,0,0,0.41,6.01,0.14,0.14,0,0,0,0.14,0,0,0.14,0,0,0.14
