stage,Cardiomyocyte,Endothelial_cell,Enterocyte,Epithelial_cell,Epithelial_cell__Brain_,Erythrocyte,Erythroid_progenitor_cell,Goblet_cell,Granulocyte,Granulosa_cell,Hepatocyte,Immune_cell,Immune_progenitor_cell,Intestinal_bulb_cell,Ionocyte,Keratinocyte,Macrophage,Mesenchymal_cell,Mesenchymal_cell__caudal_fin_,Mt_rich_cell,Muscle_cell,Nephron_cell,Neural_cell,Neural_progenitor_cell,Neurosecretory_cell,Oligodendrocyte,Osteoblast,Pancreatic_cell,Primordial_germ_cell,Radial_glia,Retinal_cell,Retinal_cone_cell,Retinal_pigment_epithelial_cell,T_cell
72hpf,2.82,1.41,0,4.51,1.13,2.25,0.28,0,0.28,0,0,0,0.56,0,3.66,15.78,0.85,11.84,0,0.85,1.41,0.28,78.92,38.61,0.28,0.28,17.19,1.13,0.28,8.74,0.56,0.56,1.97,0
22Month,0.14,0.41,0.27,3.42,0,0,0,1.78,1.37,0.55,18.58,1.09,0.41,1.37,0,0.96,3.28,1.91,0.27,0.14,0.68,0.14,0.14,0,0.55,0.27,0,0,0,0.14,0,0,0,1.37
