stage,Cardiomyocyte,Enterocyte,Epithelial_cell,Erythrocyte,Erythrocyte__Liver_,Erythroid_progenitor_cell,Granulocyte,Granulosa_cell,Hepatocyte,Immune_cell,Immune_progenitor_cell,Intestinal_bulb_cell,Ionocyte,Keratinocyte,Macrophage,Mesenchymal_cell,Mesenchymal_cell__caudal_fin_,Mt_rich_cell,Muscle_cell,Nephron_cell,Neural_cell,Neurosecretory_cell,Pancreatic_cell,Pancreatic_macrophage,Primordial_germ_cell,Radial_glia,Retinal_pigment_epithelial_cell,Smooth_muscle_cell,Spermatocyte,T_cell
24hpf,0,0,1,0,0,0,0,0,0,0,0,0,0,1,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
72hpf,0,0,0,0,0,0,0,0,0,0,0,0,0,0.28,0,0,0,0,0,0,0.28,0,0,0,0,0,0,0,0,0
21Day,0,0.74,0,1.48,0,0.37,0.74,0,0,0,4.07,0,0.37,0.37,0.74,0.37,0,0,0.74,0,0,0.37,0.37,0,0,0,0.37,0,0,2.96
3Month,0.1,0,1.77,0,0.21,0,3.85,0,0.83,4.58,0.52,0.42,0.1,0.52,1.56,0.73,0.1,0,5.2,0.1,0,0.62,0.21,0.21,0.52,0.1,0.1,0.52,0.31,6.24
22Month,0.27,0.14,0.14,0,0,0.14,5.47,0.14,3.42,3.14,0.27,0.14,0,0,1.64,0.14,0,0.14,3.28,0,0,0.68,0.27,0,0,0.14,0,0,0,2.05
