stage,Cardiomyocyte,Endothelial_cell,Enterocyte,Epithelial_cell,Epithelial_cell__Brain_,Erythrocyte,Erythrocyte__Liver_,Goblet_cell,Granulocyte,Granulosa_cell,Hepatocyte,Immune_cell,Immune_progenitor_cell,Intestinal_bulb_cell,Ionocyte,Keratinocyte,Macrophage,Mesenchymal_cell,Mesenchymal_cell__caudal_fin_,Mt_rich_cell,Muscle_cell,Nephron_cell,Neural_cell,Neural_progenitor_cell,Neurosecretory_cell,Oligodendrocyte,Osteoblast,Pancreatic_cell,Primordial_germ_cell,Radial_glia,Retinal_pigment_epithelial_cell,Smooth_muscle_cell,Spermatocyte,T_cell
24hpf,0,2,0,3,0,0,0,0,0,0,0,0,0,1,0,0,0,2,0,1,0,0,0,28,0,0,0,0,0,0,0,0,0,0
72hpf,0.56,0,0.28,2.82,0,0,0,0,0,0,0,0,0,0,35.51,1.13,0.56,2.25,0,2.25,0,0,3.38,3.1,0,0,4.79,0,0,0,0.28,0,0,0
21Day,0.37,1.11,2.59,9.25,0,0.37,0,1.48,0,0,1.85,0.37,0,8.51,2.96,1.48,0.37,12.58,0,0,0.37,0,2.59,0,0,0,1.85,0.37,0,0.74,0,0,0,0
3Month,0.21,4.99,2.18,31.31,0.1,0,0.21,45.14,0.31,0,17.58,1.35,0.1,52.01,3.33,0.31,0.94,3.64,0.21,0,0.1,0.31,0.31,0,4.99,0.31,0,0.31,0.73,0.1,0.1,1.46,0.31,1.04
22Month,0.14,3.96,7.11,22,0.14,0,0.14,25.28,1.64,0.27,102.9,0.41,0,68.73,1.5,0.14,1.09,1.5,0,1.64,0.41,0.14,0.14,0,5.33,0.41,0,0,0.27,0,0,0.55,0,0.55
