stage,Cardiomyocyte,Endothelial_cell,Enterocyte,Epithelial_cell,Erythrocyte,Erythrocyte__Liver_,Erythroid_progenitor_cell,Goblet_cell,Granulocyte,Hepatocyte,Immune_cell,Immune_progenitor_cell,Intestinal_bulb_cell,Ionocyte,Keratinocyte,Macrophage,Mesenchymal_cell,Mesenchymal_cell__caudal_fin_,Mt_rich_cell,Muscle_cell,Nephron_cell,Neural_cell,Neural_progenitor_cell,Neurosecretory_cell,Oligodendrocyte,Osteoblast,Pancreatic_cell,Primordial_germ_cell,Radial_glia,Retinal_pigment_epithelial_cell,Smooth_muscle_cell,Spermatocyte,T_cell
24hpf,0,0,0,3,5,0,0,0,0,0,0,0,0,3,0,1,3,0,0,0,0,0,7,1,0,0,0,0,0,0,0,0,0
72hpf,0.56,0.28,0,0.56,5.64,0,0.85,0,0,0,0,0,0,0.85,0.56,0,2.54,0,0,0.28,0,5.07,2.54,0,0.28,1.41,0,0,0.56,0.28,0,0,0
21Day,0,0.37,0,5.18,5.92,0,8.51,0,0,0.37,0,1.11,0.37,1.85,0.37,0.37,2.59,0,0,1.11,0,13.32,1.11,2.96,0,1.48,0.37,0.37,0.37,0.74,0,0,0.74
3Month,0.21,0.42,0,4.26,0,0.1,1.14,0.31,0.52,1.87,0.94,0,1.56,1.04,0.21,0.42,6.03,0.1,0,0.94,0.1,0.21,0.1,1.04,0,0.1,0.52,16.23,0,0,0.31,4.78,0.31
22Month,0,0.41,0.41,2.19,0,0.14,0.27,0,1.64,3.96,1.09,0.27,1.23,0,0.14,0.96,6.83,0.14,0.41,0.27,0,0.41,0.14,0.96,0,0,0,7.38,0.14,0,0,0,0
