stage,Cardiomyocyte,Endothelial_cell,Enterocyte,Epithelial_cell,Epithelial_cell__Brain_,Erythrocyte,Erythrocyte__Liver_,Goblet_cell,Granulocyte,Granulosa_cell,Hepatocyte,Immune_cell,Immune_progenitor_cell,Intestinal_bulb_cell,Ionocyte,Keratinocyte,Macrophage,Mesenchymal_cell,Mesenchymal_cell__caudal_fin_,Mt_rich_cell,Muscle_cell,Neural_cell,Neural_progenitor_cell,Neurosecretory_cell,Oligodendrocyte,Osteoblast,Pancreatic_cell,Primordial_germ_cell,Radial_glia,Retinal_cell,Retinal_cone_cell,Retinal_pigment_epithelial_cell,Smooth_muscle_cell,T_cell
24hpf,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,7,0,0,2,0,0,0,0,0,0,0,0
72hpf,0.56,0.85,0,1.13,0.85,0.28,0,0,0,0,0,0,0,0,0.28,1.69,0,25.93,0,0,1.13,7.89,3.66,0,0,92.16,0,0,0.56,0,0,0.28,0,0
21Day,0.74,0.74,0,2.22,0.74,2.22,0,0,0,0,0,0,0.74,0.74,0,2.22,0,64.38,0,0,1.48,8.14,1.11,0.37,0,66.97,0.74,0,0.74,0,1.11,0.37,0,2.59
3Month,0,1.56,0.1,1.14,0.1,0,0.1,0.1,0.83,0,2.18,0.21,0.1,0.21,0.1,0.31,0.21,17.68,9.57,0,1.04,0.1,0,0.1,0,3.02,0.31,1.56,0.1,0,0,0.1,1.98,0.42
22Month,0,3.28,0,0.96,0,0,0,0.27,0.41,4.24,4.37,0.27,0,0,0.27,0.14,0.41,22.27,2.05,0.14,0.14,0.55,0.14,0.68,0.41,2.73,0.27,1.09,0.96,0.14,0,0.41,0.96,0.14
