stage,Cardiomyocyte,Endothelial_cell,Epithelial_cell,Goblet_cell,Granulocyte,Granulosa_cell,Hatching_gland,Hepatocyte,Immune_cell,Immune_progenitor_cell,Intestinal_bulb_cell,Ionocyte,Keratinocyte,Macrophage,Mesenchymal_cell,Mesenchymal_cell__caudal_fin_,Muscle_cell,Neural_cell,Neural_progenitor_cell,Neurosecretory_cell,Oligodendrocyte,Osteoblast,Pancreatic_cell,Primordial_germ_cell,Radial_glia,Smooth_muscle_cell,Spermatocyte,T_cell
24hpf,1,0,0,0,0,0,6,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
72hpf,0.28,1.41,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.28,0,0,0,0.28,0,0,0,0,0
21Day,0.37,0.74,0,0,0,0,0,0,0,0,0,0,0,0.37,0,0,0,0,0.37,0,0,0,3.33,0,0,0,0,0
3Month,0,19.56,0.52,0.94,0.62,0,0,0.52,0.52,0.1,0.73,0.1,0.31,0.52,0.42,0.1,0.1,0.1,0,0.42,0.1,0,0.42,0.21,0,0.42,0.1,0.31
22Month,0,39.63,0.27,0.41,0,0.14,0,3.42,0.68,0,0.27,0.14,0.14,0.27,0.41,0,0.14,0.14,0,0.27,0.14,0.14,0.27,0.14,0.14,0,0,0
