stage,Cardiomyocyte,Epithelial_cell,Ionocyte,Keratinocyte,Mesenchymal_cell,Neural_cell,Neural_progenitor_cell,Osteoblast,Radial_glia
24hpf,0,0,0,0,0,0,1,0,0
72hpf,0.28,0,0,0,0.56,2.54,1.13,0,0.28
21Day,0.37,1.48,0.37,0.37,0.74,0,0,0.37,0
