stage,Cardiomyocyte,Endothelial_cell,Epithelial_cell,Erythrocyte,Goblet_cell,Granulocyte,Hepatocyte,Immune_cell,Immune_progenitor_cell,Intestinal_bulb_cell,Ionocyte,Keratinocyte,Macrophage,Mesenchymal_cell,Mesenchymal_cell__caudal_fin_,Muscle_cell,Neural_cell,Neural_progenitor_cell,Neurosecretory_cell,Osteoblast,Pancreatic_cell,Primordial_germ_cell,Smooth_muscle_cell,T_cell
24hpf,0,1,1,0,0,0,0,0,0,0,0,0,4,0,0,0,0,1,0,0,0,0,0,0
72hpf,0,0,0,0,0,0,0,0,0,0,0.28,0.28,1.41,0.28,0,0,0.28,0.28,0.56,0.56,0,0,0,0
21Day,0.37,0,4.44,0.37,0,0,0,0,1.85,0,0,0,3.33,0.74,0,0,0.74,0.37,0,0.74,0.74,0,0,0.37
3Month,0.1,0.21,3.64,0,0.73,0.1,0.1,0.1,0,0.21,0.1,0.62,2.91,0.52,0.1,0.52,0.31,0,0.52,0,0.1,0.1,0.42,0.94
22Month,0,0,0.41,0,0,0,0.14,0,0,0,0,0.14,1.37,0,0,0,0,0,0.14,0,0,0,0,0.14
