stage,Cardiomyocyte,Enterocyte,Epithelial_cell,Epithelial_cell__Brain_,Erythrocyte,Goblet_cell,Granulocyte,Hepatocyte,Immune_cell,Immune_progenitor_cell,Intestinal_bulb_cell,Ionocyte,Keratinocyte,Macrophage,Mesenchymal_cell,Mesenchymal_cell__caudal_fin_,Mt_rich_cell,Muscle_cell,Nephron_cell,Neural_cell,Neural_progenitor_cell,Oligodendrocyte,Osteoblast,Pancreatic_cell,Primordial_germ_cell,Radial_glia,Spermatocyte,T_cell
24hpf,0,0,3,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,35,0,0,0,0,0,0,0
72hpf,0,0,0,0.56,0.28,0,0,0.28,0,0,0,0.28,0.85,0,1.13,0,0,0,0,10.71,11.27,0.28,0.85,0,0,1.97,0,0
21Day,0.37,0,0.74,0,0,0,0,0,0,0.37,0,0.37,0,0.37,1.11,0,0,0,0,2.96,7.77,0,0.37,0,0,0.37,0,0
3Month,0,0,0.83,0,0,0.1,0.1,4.37,0.1,0.1,0.31,0.21,0.21,0.21,0.42,0,0.1,0,0.1,0,0,0,0,0.21,0.42,0.1,0.1,0.21
22Month,0,0.14,0.55,0,0,0,0,10.39,0,0,0.82,0,0,0.14,0.27,0.14,0.27,0.14,0,0,0,0,0,0,0.14,0,0,0
