stage,Cardiomyocyte,Endothelial_cell,Enterocyte,Epithelial_cell,Epithelial_cell__Brain_,Erythrocyte,Erythroid_progenitor_cell,Goblet_cell,Granulocyte,Granulosa_cell,Hepatocyte,Immune_cell,Immune_progenitor_cell,Intestinal_bulb_cell,Ionocyte,Keratinocyte,Macrophage,Mesenchymal_cell,Mesenchymal_cell__caudal_fin_,Muscle_cell,Nephron_cell,Neural_cell,Neural_progenitor_cell,Neurosecretory_cell,Oligodendrocyte,Osteoblast,Pancreatic_cell,Primordial_germ_cell,Radial_glia,Retinal_cell,Retinal_cone_cell,Retinal_pigment_epithelial_cell,Smooth_muscle_cell,Spermatocyte,T_cell
24hpf,0,0,0,2,0,0,0,0,0,0,0,0,0,0,14,4,2,1,0,0,0,0,14,0,0,0,0,0,0,0,0,1,0,0,0
72hpf,0.28,0,0,1.69,0.85,0.56,0.28,0,0,0,0,0,0,0,10.71,4.51,0,1.97,0,0,0,98.08,6.48,1.97,0,0.85,0,0,0.85,13.53,9.3,0.85,0,0,0
21Day,1.11,0.37,0.37,4.44,4.07,1.11,0,0.37,0,0,0.74,0,0.37,1.11,32.19,3.7,0.37,3.7,0,0.37,0,24.79,3.33,1.85,0.37,0.37,0.74,0,1.48,5.18,12.58,0,0,0,0.37
3Month,0,0.31,0.52,9.36,2.6,0,0.1,1.35,0.83,0,3.02,1.66,0.73,5.41,15.71,1.77,2.81,2.5,0.42,0.73,1.14,5.82,0.52,3.22,0.31,0.1,0.42,74.06,0.21,0.31,0,0,0.94,11.86,3.02
22Month,0,0.14,1.78,7.24,0.41,0,0,0.68,0.82,1.91,7.79,0.96,0.96,9.57,4.65,0.55,1.64,0.41,0,1.64,0.27,3.55,0.14,2.73,0,0,0.14,17.08,0.41,1.37,0,0,0.14,0,1.09
