stage,Cardiomyocyte,Endothelial_cell,Enterocyte,Epithelial_cell,Epithelial_cell__Brain_,Erythrocyte,Erythrocyte__Liver_,Erythroid_progenitor_cell,Goblet_cell,Granulocyte,Granulosa_cell,Hepatocyte,Immune_cell,Immune_progenitor_cell,Intestinal_bulb_cell,Ionocyte,Keratinocyte,Macrophage,Mesenchymal_cell,Mesenchymal_cell__caudal_fin_,Muscle_cell,Nephron_cell,Neural_cell,Neural_progenitor_cell,Neurosecretory_cell,Oligodendrocyte,Oocyte,Osteoblast,Pancreatic_cell,Primordial_germ_cell,Radial_glia,Retinal_pigment_epithelial_cell,Smooth_muscle_cell,Spermatocyte,T_cell
24hpf,0,0,0,9,0,1,0,0,0,0,0,0,0,0,0,17,0,3,4,0,0,4,3,105,1,0,0,0,0,0,0,0,0,0,0
72hpf,0.28,0,0,1.13,2.25,0.28,0,0,0,0,0,0,0,0,0,0.28,1.97,0,0.28,0,0,0.28,13.53,4.51,0.56,0,0,0.28,0.28,0,6.2,0.56,0,0,0
21Day,0,0,0,2.22,4.07,0.37,0,0,0,0,0,0.74,0,0.37,0.37,0.37,1.48,0,0.74,0,0,0,6.66,2.22,1.48,0,0,0,0,1.11,2.59,0.74,0,0,0.37
3Month,0,0.83,0.52,35.26,0.94,0,0.31,0.1,0.73,1.46,0,7.59,1.77,0.21,4.47,6.45,1.98,1.66,1.77,0.1,0.62,1.87,4.78,0.42,2.29,0.31,0,0,1.66,36.2,0.31,0.52,0.42,296.55,0.73
22Month,0,0,0.14,19.81,0.55,0,0.27,0,0.27,0.14,0.14,3.14,0,0.14,1.23,0.96,0.14,0.14,0.41,0,0.55,0.27,2.46,0,0.68,0.14,0.27,0,0,8.34,0.27,0,0,0.96,0
