stage,Cardiomyocyte,Endothelial_cell,Enterocyte,Epithelial_cell,Epithelial_cell__Brain_,Erythrocyte,Erythrocyte__Liver_,Erythroid_progenitor_cell,Goblet_cell,Granulocyte,Granulosa_cell,Hepatocyte,Immune_cell,Immune_progenitor_cell,Intestinal_bulb_cell,Ionocyte,Keratinocyte,Macrophage,Mesenchymal_cell,Mesenchymal_cell__caudal_fin_,Mt_rich_cell,Muscle_cell,Nephron_cell,Neural_cell,Neural_progenitor_cell,Neurosecretory_cell,Oocyte,Osteoblast,Pancreatic_cell,Primordial_germ_cell,Radial_glia,Retinal_cell,Retinal_cone_cell,Retinal_pigment_epithelial_cell,Smooth_muscle_cell,Spermatocyte,T_cell
24hpf,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,1,3,0,2,0,0,0,0,0,2,0,0,1,0,0,0,0,0,0,0,0,0
72hpf,0,0.56,0,0.85,0,0.28,0,0,0,0.28,0,0,0,0,0,0.28,1.97,0,0.28,0,0,0,0,84.55,3.66,0.28,0,1.97,0,0,1.41,39.18,18.6,0.28,0,0,0
21Day,1.11,0.37,0,2.22,0,1.85,0,0,0,0.37,0,0.37,0,1.11,0,0,1.85,0.37,2.96,0,0,0.74,0.37,11.84,1.48,0,0,0.37,0.74,0,0,94.35,85.47,0,0,0,0.37
3Month,0,0,0,4.37,0.1,0,0.1,0.1,0.21,0.31,0,2.39,0.83,0.1,0.94,0,0.73,0.62,0.42,0.21,0,0.1,0,0.21,0,0,0,0.1,0.1,1.87,0,1.14,0,0,0.21,16.12,0.62
22Month,0,0.27,0.27,1.09,0,0,0.14,0,0.14,2.19,0.68,13.94,0.41,0,1.09,0,0.27,2.73,1.23,0,0.68,0.14,0,0.27,0.14,0.14,0.27,0,0,3.14,0.55,56.98,0,0,0,0,0.41
