stage,Cardiomyocyte,Endothelial_cell,Epithelial_cell,Erythrocyte,Erythroid_progenitor_cell,Granulocyte,Hepatocyte,Intestinal_bulb_cell,Ionocyte,Keratinocyte,Macrophage,Mesenchymal_cell,Mt_rich_cell,Muscle_cell,Neural_cell,Neural_progenitor_cell,Neurosecretory_cell,Oligodendrocyte,Osteoblast,Pancreatic_cell,Primordial_germ_cell,Radial_glia,Retinal_cell,Retinal_cone_cell,Smooth_muscle_cell,Spermatocyte,T_cell
24hpf,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,21,0,0,0,0,0,0,0,0,0,0,0
72hpf,0,0,0,0.28,0,0,0,0,0,0,0,1.41,0.28,0,7.61,4.23,0,0,0.56,0,0,0.28,0,0,0,0,0
21Day,1.11,0,0.74,1.11,0.37,0,0,0,0.37,0,0.37,2.59,0,0.74,3.7,2.59,0,0,1.11,0,0,1.11,0,0.74,0,0,0
3Month,0,0.1,1.25,0,0,0.31,0.73,0,0,0.31,0.21,0.42,0,0.21,0.1,0,0.1,0.1,0,0.1,1.04,0,0.1,0,0.21,0.31,0.31
22Month,0,0.14,0,0,0,0,0.41,0.27,0,0,0,0,0,0,0,0,0.14,0,0,0,0,0,0,0,0,0,0
