stage,Cardiomyocyte,Endothelial_cell,Epithelial_cell,Epithelial_cell__Brain_,Erythrocyte,Erythroid_progenitor_cell,Fibroblast,Goblet_cell,Granulocyte,Granulosa_cell,Hepatocyte,Immune_progenitor_cell,Intestinal_bulb_cell,Ionocyte,Keratinocyte,Macrophage,Mesenchymal_cell,Mesenchymal_cell__caudal_fin_,Muscle_cell,Nephron_cell,Neural_cell,Neural_progenitor_cell,Neurosecretory_cell,Oligodendrocyte,Osteoblast,Primordial_germ_cell,Radial_glia,Retinal_cell,Retinal_cone_cell,Retinal_pigment_epithelial_cell,Smooth_muscle_cell,Spermatocyte,T_cell
24hpf,7,1,3,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,16,0,0,1,0,0,0,0,0,0,0,0
72hpf,1.41,0.28,1.13,0.28,0.56,0,0,0,0,0,0,0,0,0.28,1.97,0,1.41,0,0,0,13.25,2.25,0.28,0.56,2.25,0,1.13,0,0,0.85,0,0,0
21Day,1.85,0.37,0.37,0.37,0.37,0,0,0,0,0,0,0.37,0.37,0,0,0.37,5.55,0,0.74,0,5.55,1.11,0.37,0.37,4.07,0,0.74,0.74,0.37,1.48,0,0,0.74
3Month,0,0.73,0.62,0.42,0,0.1,0,0.1,0.21,0,7.07,0.21,0.42,0.1,0.31,0.31,3.12,1.04,0,0.52,0.21,0.21,0.42,0.1,0.1,2.39,0.21,0,0,0,0.21,1.98,0.94
22Month,0.14,0.55,0,0,0,0.14,0.14,0,0.27,0.14,6.97,0,0.14,0.14,0.14,0.27,0.96,0,0,0,0.14,0,0,0.14,0.14,0.55,0.14,0,0,0,0,0,0.14
