stage,Cardiomyocyte,Endothelial_cell,Enterocyte,Epithelial_cell,Erythrocyte,Erythrocyte__Liver_,Goblet_cell,Granulocyte,Granulosa_cell,Hatching_gland,Hepatocyte,Immune_cell,Intestinal_bulb_cell,Ionocyte,Keratinocyte,Macrophage,Mesenchymal_cell,Mesenchymal_cell__caudal_fin_,Muscle_cell,Nephron_cell,Neural_cell,Neural_progenitor_cell,Neurosecretory_cell,Oligodendrocyte,Osteoblast,Primordial_germ_cell,Spermatocyte,T_cell
24hpf,0,0,0,0,0,0,0,0,0,1,0,0,1,0,29,1,2,0,0,0,1,10,0,0,0,0,0,0
72hpf,0.28,0,0,1.41,0.56,0,0,0,0,0,0,0,0,0,31.29,0,1.69,0,0,0,1.97,1.13,0,0,1.69,0,0,0
21Day,0,0,0,0.37,0,0,0,0,0,0,0,0,0,0,0.37,0,1.85,0,0,0,0,0.74,0,0,0,0,0,0.37
3Month,0,0.1,0.21,1.98,0,0.21,0.62,0.21,0.1,0,1.46,0,1.25,0.42,0.62,0.42,1.56,0.31,0.42,0.52,0,0.1,0.31,0.1,0,0.52,0.1,0.21
22Month,0,0.14,0,0.68,0,0,0,0.14,0.68,0,7.65,0.14,0,0.14,0,0.14,0.82,0.14,0,0,0.14,0,0,0,0,0,0,0
