stage,Cardiomyocyte,Endothelial_cell,Epithelial_cell,Erythrocyte,Erythroid_progenitor_cell,Goblet_cell,Granulocyte,Granulosa_cell,Hepatocyte,Immune_progenitor_cell,Intestinal_bulb_cell,Ionocyte,Keratinocyte,Macrophage,Mesenchymal_cell,Mesenchymal_cell__caudal_fin_,Muscle_cell,Neural_cell,Neural_progenitor_cell,Oligodendrocyte,Osteoblast,Pancreatic_cell,Primordial_germ_cell,Radial_glia,Retinal_cone_cell,Retinal_pigment_epithelial_cell,Smooth_muscle_cell,Spermatocyte,T_cell
24hpf,165,1,7,0,0,0,0,0,0,0,0,0,2,2,24,0,0,3,87,0,2,0,0,0,0,0,0,0,0
72hpf,69.05,0.28,0.85,0.28,0,0,0,0,0,0,0,0,0.28,0,4.23,0,0,3.66,4.51,0.28,1.97,0,0,0.28,0,0,0,0,0
21Day,72.52,0,2.22,2.96,0.37,0,0.37,0,0,1.48,0,0,0.37,0.74,9.25,0,0.37,2.22,2.22,0.74,1.11,1.48,0,0,0.37,0.37,0,0,0.37
3Month,0.1,0.31,0,0,0,0.1,0,0,0.1,0,0,0,0.42,0,0.83,0,0.1,0,0,0.1,0.1,0,0.42,0,0,0.1,0.1,0.21,0.1
22Month,0.68,0.27,0.41,0,0,0,0.27,0.41,1.78,0.27,0.14,0.14,0,0.14,0.27,0.14,0.14,0,0,0,0,0,0.68,0,0,0,0.14,0,0
