stage,Epithelial_cell,Hepatocyte,Intestinal_bulb_cell,Keratinocyte,Mesenchymal_cell,Nephron_cell,Neural_cell,Neural_progenitor_cell,Osteoblast,Primordial_germ_cell
24hpf,1,0,0,0,2,0,0,2,0,0
72hpf,0,0,0,0,0,0,0,0,0.56,0
21Day,0,0,0,0,1.48,0,0.74,0,0,0
3Month,0,0.1,0.1,0.1,0,0.1,0,0,0,0.1
22Month,0,0,0,0,0.14,0,0,0,0,0.14
