stage,Cardiomyocyte,Endothelial_cell,Enterocyte,Epithelial_cell,Epithelial_cell__Brain_,Erythrocyte,Erythrocyte__Liver_,Erythroid_progenitor_cell,Fibroblast,Goblet_cell,Granulocyte,Granulosa_cell,Hatching_gland,Hepatocyte,Immune_cell,Immune_progenitor_cell,Intestinal_bulb_cell,Ionocyte,Keratinocyte,Macrophage,Mesenchymal_cell,Mesenchymal_cell__caudal_fin_,Mt_rich_cell,Muscle_cell,Nephron_cell,Neural_cell,Neural_progenitor_cell,Neurosecretory_cell,Oligodendrocyte,Oocyte,Osteoblast,Pancreatic_cell,Pancreatic_macrophage,Primordial_germ_cell,Radial_glia,Retinal_cone_cell,Retinal_pigment_epithelial_cell,Smooth_muscle_cell,Spermatocyte,T_cell
24hpf,1,2,0,17,1,0,0,1,0,0,0,0,1,0,0,0,0,0,3,34,8,0,0,0,0,3,37,0,0,0,0,0,0,0,0,0,0,0,0,0
72hpf,0.28,0.85,0,3.66,0.28,0,0,0,0,0,1.13,0,0,0,0,0.85,0,1.41,10.43,3.1,3.1,0,0.56,0.28,0,1.97,1.97,0.28,0,0,4.23,0,0,0,0.56,0.28,0.85,0,0,0.28
21Day,0,1.11,0.37,10.36,0,0.37,0,0,0,0,2.96,0,0,0,1.85,5.55,0,1.11,6.29,12.21,4.81,0,0,1.85,0,0.74,0.37,0,0.37,0,4.44,2.22,0,0.37,1.11,0,0.37,0,0,9.99
3Month,0.1,1.46,0.83,27.67,0.21,0,0.73,0.42,0.1,1.98,34.74,0,0,44.73,54.61,5.82,6.55,2.08,11.34,35.26,11.13,2.18,0,2.08,1.87,0.94,0.31,1.35,0.21,0,0.21,1.14,0.42,29.96,0.1,0,0.31,2.81,13.52,22.36
22Month,0.14,2.32,0.41,6.83,0,0,1.64,0.14,0,0.68,52.47,4.92,0,67.37,16.26,5.19,5.33,0.55,3.14,32.11,7.11,0.27,1.23,0.82,0.41,0.14,0,0.27,0.27,0.27,0.14,0.68,0,3.01,0.55,0,0.14,0.55,0,5.88
