stage,Cardiomyocyte,Endothelial_cell,Epithelial_cell,Erythrocyte,Erythrocyte__Liver_,Erythroid_progenitor_cell,Goblet_cell,Granulocyte,Granulosa_cell,Hepatocyte,Immune_cell,Immune_progenitor_cell,Intestinal_bulb_cell,Ionocyte,Keratinocyte,Macrophage,Mesenchymal_cell,Mesenchymal_cell__caudal_fin_,Muscle_cell,Nephron_cell,Neural_cell,Neural_progenitor_cell,Neurosecretory_cell,Oligodendrocyte,Osteoblast,Pancreatic_cell,Primordial_germ_cell,Radial_glia,Retinal_cell,Retinal_pigment_epithelial_cell,Smooth_muscle_cell,Spermatocyte,T_cell
24hpf,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
72hpf,0,0.28,0,0,0,2.82,0,0,0,0,0,0.85,0,0,0,0,0.28,0,0,0,0.56,1.13,0,0,0,0,0,0,0,0,0,0,0
21Day,0.37,0,1.11,1.11,0,2.96,0,0.37,0,0.37,0,17.02,0,0,0.37,1.85,0.37,0,0,0,2.59,0.37,0,0,0.37,0.74,0,0.37,0,0.37,0,0,13.69
3Month,0.1,2.91,1.77,0,0.42,0,0.21,2.29,0.1,2.81,1.66,3.33,0.94,0.52,1.04,3.12,1.56,0.1,0.21,0.21,0.21,0,0.1,0,0,0.42,0.83,0,0,0,0.1,0.21,53.78
22Month,0,3.55,0.82,0,0.14,0,0,2.6,0.14,1.5,3.28,1.23,0.14,0,0,3.55,0.96,0,0.14,0.14,0.14,0,0,0.14,0,0.27,0,0,0.14,0,0,0,20.09
