stage,Cardiomyocyte,Endothelial_cell,Epithelial_cell,Epithelial_cell__Brain_,Erythrocyte,Erythrocyte__Liver_,Goblet_cell,Granulocyte,Granulosa_cell,Hepatocyte,Immune_cell,Immune_progenitor_cell,Intestinal_bulb_cell,Ionocyte,Keratinocyte,Macrophage,Mesenchymal_cell,Mt_rich_cell,Muscle_cell,Nephron_cell,Neural_cell,Neural_progenitor_cell,Neurosecretory_cell,Oligodendrocyte,Osteoblast,Pancreatic_cell,Primordial_germ_cell,Radial_glia,Retinal_pigment_epithelial_cell,Smooth_muscle_cell,Spermatocyte,T_cell
24hpf,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,4,0,0,0,0,0,0,0,0,0,0
72hpf,0.28,0,0.28,0,0.85,0,0,0,0,0,0,0,0,0.28,0.85,0,0.28,0,0,0,99.21,7.61,0,0.28,1.41,0,0,0.85,0.56,0,0,0
21Day,0,0,0.74,0,0,0,0,0,0,0,0,0.37,0,0,0,0.74,0,0,0.37,0,25.9,5.18,0,0,0,1.48,0.37,0.37,0.37,0,0,0
3Month,0,0.1,9.15,0,0,0,0.21,0.31,0,1.35,0.52,0,0.62,0.21,3.95,0.52,0.42,0,0,0.1,0.42,0.21,0,0,0,0.1,4.58,0,0,0.21,6.66,0
22Month,0,0.14,1.23,0.14,0,0.14,0.14,1.37,0.68,4.65,0.14,0.14,0.14,0,0.96,0.41,0.14,0.14,0.41,0,0.27,0,0.41,0,0,0,1.5,0,0,0,0,0.14
