stage,Epithelial_cell,Erythrocyte,Erythroid_progenitor_cell,Ionocyte,Keratinocyte,Mesenchymal_cell,Muscle_cell,Neural_cell,Neural_progenitor_cell,Osteoblast,Pancreatic_cell,Primordial_germ_cell
24hpf,1,0,0,0,0,1,0,1,7,0,0,0
72hpf,0,0.28,0,0.28,0,0,0,0.56,0.28,0,0,0
21Day,0.37,1.11,0.74,0,0.37,1.48,0,0.74,0,0.37,0.37,0
3Month,0,0,0,0,0,0,0.1,0,0,0,0,0.1
