stage,Cardiomyocyte,Enterocyte,Epithelial_cell,Erythrocyte,Goblet_cell,Granulocyte,Hepatocyte,Immune_cell,Immune_progenitor_cell,Intestinal_bulb_cell,Keratinocyte,Macrophage,Mesenchymal_cell,Nephron_cell,Neural_cell,Neural_progenitor_cell,Osteoblast,Pancreatic_cell,Primordial_germ_cell,Radial_glia,Retinal_cell,Retinal_cone_cell,Retinal_pigment_epithelial_cell,Spermatocyte,T_cell
72hpf,0,0,0,0,0,0,0,0,0,0,0,0,1.69,0,3.66,0.85,0,0,0,0.85,0,0,1.41,0,0
21Day,0.37,0,0.37,0.37,0,0,0.74,0,0,0,0.37,0,0.74,0,23.31,0,0.37,0.74,0.37,4.44,0.74,0.37,0.37,0,0
3Month,0,0.1,0.21,0,0,0.1,0.1,0.1,0,0.1,0.31,0,0,0.1,0.52,0,0,0.21,1.66,7.39,0.1,0,0.21,0.1,0
22Month,0,0,0.27,0,0.14,0,1.5,0.14,0.27,0.27,0,0.14,0.14,0,0.14,0,0.14,0,0.96,18.99,0.27,0,0.14,0,0.14
