stage,Cardiomyocyte,Endothelial_cell,Epithelial_cell,Erythrocyte,Granulocyte,Hepatocyte,Immune_progenitor_cell,Intestinal_bulb_cell,Keratinocyte,Mesenchymal_cell,Neural_cell,Neural_progenitor_cell,Osteoblast,Pancreatic_cell,Retinal_cell,Retinal_cone_cell,Retinal_pigment_epithelial_cell,Smooth_muscle_cell,Spermatocyte,T_cell
24hpf,37,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0
72hpf,14.37,0,0,0,0,0,0,0,0.28,2.25,1.41,0,0.56,0,0,0.28,0,0,0,0
21Day,48.47,0.37,1.11,0.37,0,0,0,0.74,0,5.92,0.74,0,0.37,1.11,0.37,0,0.37,0,0,0
3Month,0.62,0,0.31,0,0,0.31,0,0,0.1,0.1,0,0,0,0,0,0,0,0.1,0.21,0
22Month,0,0,0.14,0,0.14,0.96,0.14,0.41,0,0,0,0,0,0,0,0,0,0,0,0.14
