stage,Cardiomyocyte,Enterocyte,Epithelial_cell,Epithelial_cell__Brain_,Erythrocyte,Erythrocyte__Liver_,Erythroid_progenitor_cell,Goblet_cell,Granulocyte,Granulosa_cell,Hepatocyte,Immune_cell,Immune_progenitor_cell,Intestinal_bulb_cell,Ionocyte,Keratinocyte,Macrophage,Mesenchymal_cell,Mesenchymal_cell__caudal_fin_,Neural_cell,Neural_progenitor_cell,Neurosecretory_cell,Osteoblast,Pancreatic_cell,Primordial_germ_cell,Radial_glia,Retinal_cell,Retinal_cone_cell,Retinal_pigment_epithelial_cell,Smooth_muscle_cell,Spermatocyte,T_cell
24hpf,2,0,2,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,7,46,0,1,0,0,0,0,0,1,0,0,0
72hpf,3.66,0,1.13,0,1.69,0,0,0,0,0,0,0,0,0,0.85,0.85,0.56,3.1,0,102.87,129.09,0.28,5.07,0,0,2.54,3.1,3.1,0,0,0,0
21Day,1.48,0.37,1.48,0.37,1.85,0,0,0,0,0,0,0.74,0,0.74,0,0.37,0.74,3.7,0,44.77,24.79,0,0.74,1.85,0,1.11,2.22,9.62,0,0,0,0
3Month,0,0,0.52,0,0,0.1,0.1,0.1,0.52,0,0.42,0,0.1,0.62,0,0.52,0.52,3.12,2.39,1.56,0.21,0.1,0,0,1.14,2.18,0,0,0.42,0,0.52,0.21
22Month,0,0.27,0.55,0,0,0,0,0.14,0.14,0.14,2.73,0.14,0,0.27,0,0.14,0.27,1.64,0,0.55,0,0,0,0,1.78,5.06,0.41,0,0,0.14,0,0
