stage,Cardiomyocyte,Enterocyte,Epithelial_cell,Epithelial_cell__Brain_,Erythrocyte,Granulocyte,Hepatocyte,Intestinal_bulb_cell,Ionocyte,Mesenchymal_cell,Mesenchymal_cell__caudal_fin_,Muscle_cell,Neural_cell,Neural_progenitor_cell,Neurosecretory_cell,Oligodendrocyte,Osteoblast,Pancreatic_cell,Primordial_germ_cell,Retinal_pigment_epithelial_cell,Smooth_muscle_cell,Spermatocyte,T_cell
72hpf,0.28,0,0.56,0,0,0,0,0,0.28,0,0,0,4.23,0,0.56,0.56,2.54,0,0,0,0,0,0
21Day,0.37,0,0,0.37,0.37,0,0.74,0,0.37,0.37,0,0,5.55,0.74,0.37,0.74,3.33,0.37,0,0,0,0,0
3Month,0,0.1,0.52,0,0,0.21,0.31,0.1,0,1.04,0.21,0.73,1.98,0,2.08,1.46,0.31,0,0.52,0.21,0,0.21,0.1
22Month,0,0,0,0,0,0,0.55,0,0,0,0,0,0.14,0,0.96,0.41,0.14,0,0.14,0,0.14,0,0
