stage,Cardiomyocyte,Endothelial_cell,Epithelial_cell,Fibroblast,Goblet_cell,Granulocyte,Granulosa_cell,Hatching_gland,Hepatocyte,Immune_cell,Immune_progenitor_cell,Intestinal_bulb_cell,Keratinocyte,Macrophage,Mesenchymal_cell,Mesenchymal_cell__caudal_fin_,Mt_rich_cell,Nephron_cell,Neural_cell,Neural_progenitor_cell,Oocyte,Osteoblast,Pancreatic_cell,Primordial_germ_cell,Spermatocyte
24hpf,1,6,1,0,0,0,0,1,0,0,0,0,4,3,12,0,0,0,0,20,0,0,0,0,0
72hpf,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.54,0,0,0,1.41,0.28,0,0.56,0.28,0,0
21Day,0.37,0.37,0,0,0,0,0,0,0,0,0,0,0,0,0.74,0,0,0,0.74,1.48,0,0.37,0,0.37,0
3Month,0.1,0.73,0.62,0.1,0,0.42,0,0,1.25,0.21,0.1,0.42,0,0.21,1.04,0.1,0,0.1,0,0,0,0.1,0.1,5.3,0.31
22Month,0,0.41,0.14,0,0.14,0.68,0.55,0,8.47,0.41,0.14,0.68,0,0.41,0.96,0,0.14,0,0,0,0.14,0,0,1.23,0
