stage,Cardiomyocyte,Endothelial_cell,Epithelial_cell,Erythrocyte__Liver_,Goblet_cell,Granulocyte,Granulosa_cell,Hepatocyte,Immune_cell,Immune_progenitor_cell,Intestinal_bulb_cell,Keratinocyte,Macrophage,Mesenchymal_cell,Muscle_cell,Nephron_cell,Neural_cell,Oligodendrocyte,Pancreatic_cell,Primordial_germ_cell,Spermatocyte,T_cell
24hpf,0,0,0,0,0,0,0,0,0,0,0,0,14,0,0,0,0,0,0,0,0,0
72hpf,0.28,0,0,0,0,0.56,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
21Day,0,0,0,0,0,3.33,0,0,0,0,0,0,0,0,0,0,0,0,0.37,0,0,0
3Month,0,0.21,0.94,0.21,0.1,58.87,0,1.35,0.83,0,0.42,0.31,1.25,0.31,0.1,0.1,0,0,0.42,0.52,0.21,0.21
22Month,0,0,0.27,0.82,0,84.45,0.14,1.5,0.68,0.14,0,0.27,5.06,0.41,0.14,0,0.14,0.27,0,0,0,0
