stage,Endothelial_cell,Epithelial_cell,Erythroid_progenitor_cell,Granulocyte,Granulosa_cell,Hepatocyte,Immune_cell,Immune_progenitor_cell,Intestinal_bulb_cell,Keratinocyte,Macrophage,Mesenchymal_cell,Mesenchymal_cell__caudal_fin_,Mt_rich_cell,Muscle_cell,Neural_cell,Neural_progenitor_cell,Neurosecretory_cell,Oligodendrocyte,Oocyte,Pancreatic_cell,Primordial_germ_cell,Radial_glia,Retinal_pigment_epithelial_cell,Smooth_muscle_cell,Spermatocyte,T_cell
24hpf,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
72hpf,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.41,0,0,0,0,0,0,0,0,0,0,0
21Day,0,0.37,0,0,0,0,0,0,0,0,0,0.74,0,0,0,1.48,0,0,0,0,0.37,0,0,0,0,0,0
3Month,0,1.56,0.21,0.21,0,3.02,0.21,0.21,0.94,0.1,0.42,0.31,0.1,0,0,0.1,0,0,0.1,0,0.1,0.83,0,0,0.31,0.1,0.42
22Month,0.14,1.91,0,0.41,0.14,6.83,0.14,0.14,0.82,0.14,0.68,0.27,0,0.27,0.14,0.14,0,0.27,0.14,0.14,0,0.27,0.14,0.14,0,0,0
