stage,Cardiomyocyte,Endothelial_cell,Enterocyte,Epithelial_cell,Epithelial_cell__Brain_,Erythrocyte,Erythroid_progenitor_cell,Granulocyte,Hatching_gland,Hepatocyte,Immune_cell,Immune_progenitor_cell,Intestinal_bulb_cell,Ionocyte,Keratinocyte,Macrophage,Mesenchymal_cell,Mesenchymal_cell__caudal_fin_,Mt_rich_cell,Muscle_cell,Nephron_cell,Neural_cell,Neural_progenitor_cell,Neurosecretory_cell,Oligodendrocyte,Osteoblast,Pancreatic_cell,Primordial_germ_cell,Radial_glia,Retinal_cell,Retinal_cone_cell,Retinal_pigment_epithelial_cell,Smooth_muscle_cell,Spermatocyte,T_cell
24hpf,422,3,0,25,0,0,0,0,11,0,0,0,0,3,53,3,26,0,0,0,1,3,73,1,0,2,0,0,0,0,0,0,0,0,0
72hpf,225.76,0,0,7.05,3.38,1.41,0,0,0,0,0,0,0,2.82,45.94,0,3.1,0,1.41,0,0,31.29,13.81,0.56,1.13,6.2,1.97,0,2.82,0.56,0.56,0,0,0,0
21Day,218.66,0.37,0,36.26,1.48,3.7,1.48,0.37,0,1.48,0,8.14,0,0,23.68,1.48,9.62,0,0,1.85,0,6.66,5.92,0,0.37,2.22,4.81,1.11,0.37,0.74,2.22,0.37,0,0,0.74
3Month,2.81,0,0.1,4.99,0.21,0,0,0.1,0,1.46,0.83,0.1,0.62,0.21,4.78,0.31,0.52,0.1,0,0,0.1,0.52,0.21,0,0.1,0.1,0.21,8.63,0,0,0,0,0.42,1.56,0.21
22Month,0.41,0.41,0,2.05,0.41,0,0,0.41,0,3.14,0,0.14,0.82,0.14,0.96,1.09,0.55,0,0,0.41,0,0,0,0.14,0.14,0,0,2.6,0,0.14,0,0,0,0.14,0
