stage,Cardiomyocyte,Endothelial_cell,Enterocyte,Epithelial_cell,Epithelial_cell__Brain_,Erythrocyte,Erythrocyte__Liver_,Goblet_cell,Granulocyte,Hatching_gland,Hepatocyte,Immune_cell,Immune_progenitor_cell,Intestinal_bulb_cell,Ionocyte,Keratinocyte,Macrophage,Mesenchymal_cell,Mesenchymal_cell__caudal_fin_,Mt_rich_cell,Muscle_cell,Nephron_cell,Neural_cell,Neural_progenitor_cell,Neurosecretory_cell,Oligodendrocyte,Oocyte,Pancreatic_cell,Primordial_germ_cell,Radial_glia,Retinal_pigment_epithelial_cell,Smooth_muscle_cell,Spermatocyte,T_cell
24hpf,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
72hpf,0,0,0,0.85,0.28,0.28,0,0,0,0,0,0,0,0,0,0.28,0,0.28,0,0,0.28,0,3.95,10.15,0,0,0,0,0,6.2,0.28,0,0,0
21Day,1.48,0,0,0.74,0,0.37,0,0,0,0,0.37,0,0,0,0,0,0,1.11,0,0,1.85,0,0.74,2.59,0,0,0,0.37,4.44,1.11,0,0,0,0
3Month,0.1,0.52,0.21,6.14,0.21,0,0.1,0.94,1.25,0,7.8,3.02,0.31,2.39,0.31,2.18,1.87,2.18,0.94,0.1,0.62,1.14,0.21,0.21,0.83,0.31,0,1.77,233.93,0.21,0,1.25,68.96,1.46
22Month,0,0,0.55,0.41,0,0,0,0.27,0.14,0,1.23,0.41,0,0.68,0,0,0.14,0,0,0.27,0.14,0,0.41,0.14,0,0,2.32,0,34.3,0,0,0,0,0
