stage,Endothelial_cell,Enterocyte,Epithelial_cell,Epithelial_cell__Brain_,Erythrocyte,Erythrocyte__Liver_,Erythroid_progenitor_cell,Fibroblast,Goblet_cell,Granulocyte,Granulosa_cell,Hepatocyte,Immune_cell,Immune_progenitor_cell,Intestinal_bulb_cell,Ionocyte,Keratinocyte,Macrophage,Mesenchymal_cell,Mesenchymal_cell__caudal_fin_,Muscle_cell,Neural_cell,Neural_progenitor_cell,Neurosecretory_cell,Oligodendrocyte,Pancreatic_cell,Primordial_germ_cell,Radial_glia,Retinal_cell,Smooth_muscle_cell,Spermatocyte,T_cell
24hpf,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
72hpf,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.13,1.13,0.28,0,0,0.56,0.28,0,0,0,0,0,0,0,0,0
21Day,0,0,5.92,0,0.74,0,1.11,0,0,0,0,0,0,1.48,0,0.37,3.7,2.22,1.11,0,0.37,0,0,0.37,0,0.74,0.37,0,0.37,0,0,0.74
3Month,0.21,0.1,2.18,0,0,0,0,0,0.73,0.73,0,0.21,0.42,0,2.08,0.21,0.42,1.46,0.21,0.31,0.31,0.1,0,0.1,0,0.1,0.62,0,0,0.21,0.52,1.66
22Month,0.55,0.68,2.05,0.14,0,0.27,0.27,0.14,1.78,7.52,1.78,3.14,1.09,0.82,7.38,0.14,0.27,7.38,3.01,0,0.27,0.14,0,0.14,0.14,0,0.96,0.27,0,0.55,0,0.96
