stage,Cardiomyocyte,Epithelial_cell,Goblet_cell,Granulocyte,Granulosa_cell,Hepatocyte,Immune_cell,Immune_progenitor_cell,Intestinal_bulb_cell,Ionocyte,Keratinocyte,Macrophage,Mesenchymal_cell,Nephron_cell,Neural_cell,Neural_progenitor_cell,Oligodendrocyte,Primordial_germ_cell,Smooth_muscle_cell,Spermatocyte,T_cell
72hpf,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.54,0,0,0,0,0,0
21Day,0.37,0,0,0,0,0,0,0.37,0,0,0,0,0.37,0,0.74,0.37,0,0,0,0,0.37
3Month,0,0.21,0.1,0.31,0,0.42,0.1,0,0.31,0,0.21,0.1,0.21,0.21,0,0,0.1,0.1,0.1,0.31,0.31
22Month,0,0.27,0,0.27,0.14,0.82,0,0,0.14,0.14,0,0.14,0.27,0,0,0,0,0,0,0,0.41
