stage,Cardiomyocyte,Endothelial_cell,Enterocyte,Epithelial_cell,Erythrocyte,Goblet_cell,Granulocyte,Hepatocyte,Immune_cell,Immune_progenitor_cell,Intestinal_bulb_cell,Ionocyte,Keratinocyte,Macrophage,Mesenchymal_cell,Nephron_cell,Neural_cell,Neural_progenitor_cell,Neurosecretory_cell,Oocyte,Osteoblast,Pancreatic_cell,Primordial_germ_cell,Radial_glia,Retinal_cell,Retinal_cone_cell,Retinal_pigment_epithelial_cell,Spermatocyte,T_cell
24hpf,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
72hpf,0,0,0,0.28,0,0,0,0,0,0,0,0,0,0,0,0,0.56,0.28,0,0,0.28,0,0,0,0,0,0.85,0,0
21Day,0.74,0.37,0,1.85,2.22,0,0,0.74,0,0.74,0,0,0.74,0.74,1.48,0,1.11,0.74,0,0,0.37,0.74,0.37,0,0.37,0.37,40.7,0,0
3Month,0,0,0.1,1.04,0,0.1,0.1,1.35,0.1,0.1,0.1,0.1,0.21,0.21,0.52,0.1,0.1,0,0.1,0,0.1,0.1,9.05,0.21,0,0,0.21,10.09,0.21
22Month,0,0,0,0.27,0,0,0.14,0.96,0,0,0.14,0,0,0,0.14,0,0.14,0,0.14,0.68,0,0,1.78,0,0,0,0.14,0,0
