stage,Cardiomyocyte,Epithelial_cell,Macrophage,Mesenchymal_cell,Neural_cell,Neural_progenitor_cell
24hpf,0,0,1,0,0,1
72hpf,0.28,0,0,0.28,2.25,0.85
21Day,0.37,0.37,0,0,1.85,0
