stage,Cardiomyocyte,Endothelial_cell,Enterocyte,Epithelial_cell,Epithelial_cell__Brain_,Erythrocyte,Erythrocyte__Liver_,Goblet_cell,Granulocyte,Granulosa_cell,Hatching_gland,Hepatocyte,Immune_cell,Immune_progenitor_cell,Intestinal_bulb_cell,Ionocyte,Keratinocyte,Macrophage,Mesenchymal_cell,Mesenchymal_cell__caudal_fin_,Mt_rich_cell,Muscle_cell,Nephron_cell,Neural_cell,Neural_progenitor_cell,Neurosecretory_cell,Oligodendrocyte,Oocyte,Osteoblast,Pancreatic_cell,Primordial_germ_cell,Radial_glia,Retinal_cell,Retinal_cone_cell,Retinal_pigment_epithelial_cell,Smooth_muscle_cell,Spermatocyte,T_cell
24hpf,0,0,0,2,0,0,0,0,0,0,1,0,0,0,0,5,1,1,2,0,0,0,1,0,130,1,0,0,0,0,0,0,0,0,0,0,0,0
72hpf,0.56,0,0,2.82,11.84,0.56,0,0,0,0,0,0,0,0,0,0.28,2.25,0,0.56,0,0.28,0,0,8.74,17.47,0,0,0,1.69,0,0,17.47,0.28,0,0.28,0,0,0
21Day,0,0,0,4.07,5.18,0,0,0,0,0,0,0.37,0,0.74,0,0,0.37,0,0.74,0,0,0,0.37,1.11,4.44,0,0,0,0,0.37,0.37,4.44,0,0.37,0,0,0,0
3Month,0,0.42,0.1,73.96,2.39,0,0.62,0.42,0.52,0.1,0,4.26,1.56,0,1.77,4.16,1.14,1.14,1.35,0.1,0,0.31,1.66,3.64,0.31,0.21,0.1,0,0,0.52,0.94,0.83,0.1,0,1.46,0.21,0.73,0.62
22Month,0,0.55,0,39.63,0.68,0,0.27,0,0.14,0.27,0,5.06,0.27,0.14,0.41,0.82,0.41,0.55,1.64,0,0.14,0.55,0.82,0.68,0.96,0.27,0.14,0.41,0,0,0.82,1.09,0,0,0.41,0,0.14,0
