stage,Cardiomyocyte,Endothelial_cell,Enterocyte,Epithelial_cell,Erythrocyte,Erythrocyte__Liver_,Fibroblast,Goblet_cell,Granulocyte,Granulosa_cell,Hepatocyte,Immune_cell,Immune_progenitor_cell,Intestinal_bulb_cell,Ionocyte,Keratinocyte,Macrophage,Mesenchymal_cell,Mesenchymal_cell__caudal_fin_,Mt_rich_cell,Muscle_cell,Nephron_cell,Neural_cell,Neural_progenitor_cell,Neurosecretory_cell,Oligodendrocyte,Osteoblast,Pancreatic_cell,Primordial_germ_cell,Radial_glia,Retinal_cell,Retinal_pigment_epithelial_cell,Smooth_muscle_cell,Spermatocyte,T_cell
24hpf,4,17,0,8,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,5,0,0,0,0,0,0,0,7,0,0,0
72hpf,10.15,30.44,0,1.13,0.56,0,0,0,0,0,0,0,0,0,0.28,1.13,0,16.35,0,0,0.56,0.85,6.48,5.92,0,0,11.56,0,0,0,0,10.43,0,0,0
21Day,7.4,13.69,0,9.62,1.85,0,0,0,0,0,0.37,0,0,0,0.37,1.48,1.11,7.77,0,0,3.33,0,1.11,2.59,0,0.37,2.96,1.11,0,0.37,0.37,0.74,0,0,0
3Month,0.73,41.71,0.21,33.49,0,0.1,0,0.31,0.94,0.1,2.39,0.83,0,1.25,0.42,10.82,1.66,16.64,2.5,0,9.78,0.62,0.21,0,0.42,0,6.14,1.46,3.74,0,0,0.1,3.64,4.47,0.62
22Month,0,28.7,0,14.07,0,0,0.14,0.14,0.55,0.27,3.69,0.68,0.27,0.68,0.41,1.37,0.96,3.83,0,0.27,2.05,0.14,0,0,0.68,0.27,1.64,0,1.37,0.14,0,0,0.82,0,0.14
