stage,Cardiomyocyte,Endothelial_cell,Epithelial_cell,Hepatocyte,Intestinal_bulb_cell,Keratinocyte,Mesenchymal_cell,Neural_cell,Neural_progenitor_cell,Primordial_germ_cell,Radial_glia,Spermatocyte
24hpf,0,0,0,0,0,0,0,0,1,0,0,0
72hpf,0,0,0,0,0,0.28,0,1.69,0,0,0,0
21Day,0.37,0,0,0,0,0,0.37,1.85,0.37,0,0.37,0
3Month,0,0.1,0.21,0.31,0.21,0,0,0,0,1.35,0,0.94
22Month,0,0,0,0.27,0,0,0,0,0,0.14,0,0.14
