stage,Cardiomyocyte,Endothelial_cell,Enterocyte,Epithelial_cell,Epithelial_cell__Brain_,Erythrocyte,Erythrocyte__Liver_,Erythroid_progenitor_cell,Goblet_cell,Granulocyte,Granulosa_cell,Hatching_gland,Hepatocyte,Immune_cell,Immune_progenitor_cell,Intestinal_bulb_cell,Ionocyte,Keratinocyte,Macrophage,Mesenchymal_cell,Mesenchymal_cell__caudal_fin_,Mt_rich_cell,Muscle_cell,Nephron_cell,Neural_cell,Neural_progenitor_cell,Neurosecretory_cell,Oligodendrocyte,Osteoblast,Pancreatic_cell,Primordial_germ_cell,Radial_glia,Retinal_cone_cell,Retinal_pigment_epithelial_cell,Smooth_muscle_cell,Spermatocyte,T_cell
24hpf,0,0,0,3,0,0,0,0,0,1,0,1,0,0,0,0,0,1,3,1,0,0,0,0,1,3,0,0,0,0,0,0,0,0,0,0,0
72hpf,0.28,0.28,0,1.69,17.19,2.54,0,0,0,0,0,0,0,0,0.28,0,0.28,5.92,2.54,0.85,0,0.28,0,0.28,20.57,1.97,5.07,0,1.41,0,0,0,0,0.28,0,0,0
21Day,1.48,0,0,5.18,18.13,1.11,0,0,0,0.37,0,0,0,0,6.66,0,0.74,7.03,4.44,0.37,0,0,0.37,0,29.6,1.85,0,1.85,0.37,1.11,0.37,0,0.74,0,0,0,1.85
3Month,0.1,0.42,0,4.68,6.66,0,0.21,0,1.25,1.66,0,0,5.1,2.39,0.31,1.77,6.76,1.66,3.02,0.94,0.31,0,0.31,0.31,20.39,0.31,2.18,0.1,0,0.42,6.55,0.1,0,0.1,0.62,149.26,3.22
22Month,0,0,0.82,2.87,1.23,0,0.27,0.27,0.68,4.51,0.82,0,5.74,1.09,0.68,0.68,1.37,0.68,5.33,1.64,0,0.14,0.41,0.14,10.66,0,4.78,0.41,0,0.14,1.78,0.27,0,0,0,0.41,1.23
