stage,Epithelial_cell,Fibroblast,Granulocyte,Hepatocyte,Immune_cell,Intestinal_bulb_cell,Ionocyte,Keratinocyte,Macrophage,Mesenchymal_cell,Nephron_cell,Osteoblast,Pancreatic_cell,Primordial_germ_cell,Smooth_muscle_cell,Spermatocyte,T_cell
72hpf,0,0,0,0,0,0,0,0,0,0,0,0.28,0,0,0,0,0
3Month,0.52,0.1,0.31,1.04,0.21,0.1,0.1,0.31,0.21,0.42,0.1,0,0.42,27.25,0.31,21.22,0.1
22Month,0,0,0.14,0.55,0,0,0,0,0,0,0,0,0,3.55,0,0,0
