stage,Cardiomyocyte,Endothelial_cell,Enterocyte,Epithelial_cell,Erythrocyte,Erythrocyte__Liver_,Erythroid_progenitor_cell,Goblet_cell,Granulocyte,Hepatocyte,Immune_cell,Immune_progenitor_cell,Intestinal_bulb_cell,Ionocyte,Keratinocyte,Macrophage,Mesenchymal_cell,Mesenchymal_cell__caudal_fin_,Mt_rich_cell,Muscle_cell,Neural_cell,Neural_progenitor_cell,Neurosecretory_cell,Oligodendrocyte,Osteoblast,Pancreatic_cell,Pancreatic_macrophage,Primordial_germ_cell,Radial_glia,Retinal_cell,Retinal_cone_cell,Retinal_pigment_epithelial_cell,Smooth_muscle_cell,Spermatocyte,T_cell
24hpf,1,4,0,4,0,0,1,0,0,0,0,0,0,0,1,0,6,0,0,0,7,70,0,0,0,0,0,0,0,0,0,0,0,0,0
72hpf,0.28,0.85,0,0.56,1.13,0,0,0,0,0,0,0.28,0,0,0.56,0,1.69,0,0,0.28,74.41,6.76,0,0.28,3.1,0,0,0,0.56,0.28,0.85,0.56,0,0,0
21Day,1.48,0.37,0,4.44,4.44,0,0.37,0.37,2.22,0,2.22,27.01,0.37,0.74,1.48,5.18,2.96,0,0,1.48,45.51,4.81,0.74,0.37,0.37,2.96,0,0,0,0,0.37,0,0,0,18.5
3Month,0.1,0.1,0.1,2.81,0,0.21,0,0.1,10.09,2.39,39.21,2.39,1.14,0,1.04,1.77,0.42,0.21,0,0.21,0.73,0,0.42,0,0,0.42,0.1,0.83,0,0,0,0,0.31,3.33,8.63
22Month,0.14,0.27,0.14,1.23,0,0.27,0.55,0,14.76,8.34,3.96,1.78,0.55,0,0.27,2.32,0.82,0,0.14,0,0.41,0,0.14,0,0,0,0,0.55,0,0.14,0,0,0,0,4.24
