stage,Cardiomyocyte,Endothelial_cell,Epithelial_cell,Erythrocyte,Erythroid_progenitor_cell,Goblet_cell,Granulocyte,Granulosa_cell,Hepatocyte,Immune_cell,Immune_progenitor_cell,Intestinal_bulb_cell,Ionocyte,Keratinocyte,Macrophage,Mesenchymal_cell,Mt_rich_cell,Muscle_cell,Neural_cell,Neural_progenitor_cell,Neurosecretory_cell,Oligodendrocyte,Osteoblast,Pancreatic_cell,Primordial_germ_cell,Radial_glia,Retinal_cell,Retinal_cone_cell,Retinal_pigment_epithelial_cell,Smooth_muscle_cell,T_cell
24hpf,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
72hpf,0.28,0,0.28,0,0,0,0,0,0,0,0,0,0,0,0,0.28,0,0,1.69,0.28,0,0,0,0,0,0,2.82,0.28,0,0,0
21Day,0,0,0.37,0.74,0,0,0,0,0.37,0,0,0,0,0,0,0,0,0,1.85,1.11,0,0,0.74,0.37,0,0.37,5.92,1.48,3.33,0,0
3Month,0,0.21,0.73,0,0,0,0.1,0,2.18,0,0,0.31,0.1,0,0,0.1,0,0.1,0.1,0,0.21,0,0,0,0.31,0.31,0.31,0,0.21,1.46,0.1
22Month,0,0.27,0.68,0,0.14,0.41,0.55,0.41,14.35,0.14,0.14,1.09,0,0.41,0.27,0.68,0.27,0.14,0,0,0.27,0.14,0.14,0.27,0.68,1.09,5.19,0,0.14,0.41,0.27
