stage,Endothelial_cell,Epithelial_cell,Hepatocyte,Immune_cell,Keratinocyte,Mesenchymal_cell,Neural_cell,Primordial_germ_cell,Spermatocyte
72hpf,0,0,0,0,0,0,0.28,0,0
3Month,0.1,0.1,0.21,0.1,0.1,0,0,0.1,0.1
22Month,0,0.27,0.68,0.14,0,0.14,0,0,0
