stage,Epithelial_cell,Epithelial_cell__Brain_,Granulocyte,Hatching_gland,Hepatocyte,Immune_cell,Immune_progenitor_cell,Intestinal_bulb_cell,Keratinocyte,Mesenchymal_cell,Neural_cell,Neural_progenitor_cell,Pancreatic_cell,Primordial_germ_cell,Spermatocyte
24hpf,0,0,0,15,0,0,0,0,0,0,0,3,0,0,0
72hpf,0.28,0.28,0,0,0,0,0,0,0,0,0.28,0,0,0,0
21Day,2.59,0,0,0,0,0,0,0,0,0,0,0,0,0,0
3Month,0.31,0,0.1,0,0.31,0.1,0.1,0.1,0.1,0,0,0,0.1,6.76,0.21
22Month,0.14,0,0,0,0.27,0,0,0,0,0.14,0,0,0,7.52,0
