stage,Endothelial_cell,Epithelial_cell,Hepatocyte,Intestinal_bulb_cell,Keratinocyte,Mesenchymal_cell,Neural_progenitor_cell,Radial_glia
24hpf,0,0,0,0,0,0,3,0
72hpf,0,0.28,0,0,0,0,1.13,0.28
21Day,0,0,0,0,0.37,0.37,0,0
22Month,0.14,0.27,0.27,0.14,0,0,0,0
