stage,Epithelial_cell,Erythrocyte__Liver_,Granulocyte,Hepatocyte,Immune_cell,Intestinal_bulb_cell,Keratinocyte,Macrophage,Muscle_cell,Primordial_germ_cell
21Day,0,0,1.11,0,0.37,0,0.37,0,0,0
3Month,0.1,0.1,1.87,0.31,3.54,0.1,0.21,0.1,0.1,0.31
22Month,0,0,3.14,0.14,0.96,0,0,0.27,0.14,0
