stage,Cardiomyocyte,Endothelial_cell,Epithelial_cell,Erythrocyte,Granulocyte,Granulosa_cell,Hepatocyte,Immune_cell,Intestinal_bulb_cell,Ionocyte,Keratinocyte,Macrophage,Mesenchymal_cell,Mesenchymal_cell__caudal_fin_,Mt_rich_cell,Muscle_cell,Neural_cell,Neural_progenitor_cell,Neurosecretory_cell,Oligodendrocyte,Oocyte,Osteoblast,Primordial_germ_cell,Radial_glia,Retinal_pigment_epithelial_cell,Smooth_muscle_cell,Spermatocyte,T_cell
24hpf,0,0,18,0,0,0,0,0,0,0,0,2,4,0,0,0,2,4,0,0,0,1,0,0,1,0,0,0
72hpf,0.28,0,1.69,0,0,0,0,0,0,0,14.09,0,3.95,0,0,0.28,1.13,5.07,0,0.28,0,3.66,0,0.28,5.92,0,0,0
21Day,0,0,0,0.37,0,0,0,0,0,0,0.37,0,1.48,0,0,0.37,1.85,1.48,0,0.37,0,1.48,0,0,6.66,0,0,0
3Month,0.21,0.1,0.52,0,0.1,0,0.42,0.1,0.42,0.1,0.83,0.1,0.52,0.1,0,0.1,0.21,0.21,0.31,0.21,0,0,2.7,0.21,5.72,0.21,2.6,0.31
22Month,0,0.27,0.27,0,0.14,3.14,0.96,0,0,0,0.14,0,0.27,0,0.14,0,0.27,0.41,0,0.14,0.14,0,0.82,0.14,0.14,0,0,0
