stage,Cardiomyocyte,Endothelial_cell,Epithelial_cell,Epithelial_cell__Brain_,Erythrocyte,Erythroid_progenitor_cell,Granulocyte,Hatching_gland,Intestinal_bulb_cell,Ionocyte,Keratinocyte,Macrophage,Mesenchymal_cell,Muscle_cell,Neural_cell,Neural_progenitor_cell,Oligodendrocyte,Osteoblast,Pancreatic_cell,Radial_glia,Retinal_pigment_epithelial_cell
24hpf,33,14,77,1,3,1,1,217,2,7,48,42,120,0,59,951,0,20,0,0,2
72hpf,0.56,0.28,19.45,0.28,1.41,0.56,0,0.56,0,0.28,7.61,0,1.13,0.28,13.25,6.76,0.28,1.97,0,0.85,0
21Day,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.37,0,0
3Month,0,0,0,0,0,0,0.21,0,0,0,0,0,0.31,0,0,0,0,0,0,0,0
