stage,Epithelial_cell,Goblet_cell,Hepatocyte,Immune_cell,Intestinal_bulb_cell,Keratinocyte,Macrophage,Mesenchymal_cell,Mesenchymal_cell__caudal_fin_,Muscle_cell,Neural_cell,Neural_progenitor_cell,Osteoblast,Pancreatic_cell,Primordial_germ_cell,Retinal_cell,Spermatocyte
24hpf,2,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0
72hpf,0.85,0,0,0,0,0.85,0,2.25,0,0,1.69,1.13,1.69,0,0,0.28,0
21Day,0,0,0,0,0,0,0,0.37,0,0.37,0.37,0,0.37,0,0,0,0
3Month,0.1,0,0.62,0.1,0,0,0,0,0.1,0,0,0,0,0.1,0.62,0,0.83
22Month,0,0.27,1.23,0,0.55,0,0.14,0.27,0,0,0,0,0,0,0.55,0,0
