stage,Cardiomyocyte,Endothelial_cell,Enterocyte,Epithelial_cell,Epithelial_cell__Brain_,Erythrocyte,Goblet_cell,Granulocyte,Granulosa_cell,Hatching_gland,Hepatocyte,Immune_cell,Immune_progenitor_cell,Intestinal_bulb_cell,Ionocyte,Keratinocyte,Macrophage,Mesenchymal_cell,Mesenchymal_cell__caudal_fin_,Mt_rich_cell,Muscle_cell,Nephron_cell,Neural_cell,Neural_progenitor_cell,Neurosecretory_cell,Oligodendrocyte,Oocyte,Osteoblast,Pancreatic_cell,Primordial_germ_cell,Radial_glia,Retinal_cell,Retinal_cone_cell,Retinal_pigment_epithelial_cell,Smooth_muscle_cell,Spermatocyte,T_cell
24hpf,0,0,0,11,0,0,0,0,0,1,0,0,0,0,0,18,2,8,0,0,0,0,2,18,0,0,0,1,0,0,0,0,0,0,0,0,0
72hpf,0.28,0,0,0.56,0.28,0,0,0.28,0,0,0,0,0,0,1.13,2.54,0,5.64,0,0,0,0,17.76,2.25,0,0,0,1.97,0,1.41,0,0,0,4.51,0,0,0
21Day,0.74,0,0,6.29,0,0.37,0,0,0,0,0,0,0,0.37,0.74,2.96,0.37,2.22,0,0.37,0,0,7.03,1.48,0,0.37,0,0.37,0,3.7,0,0,0.37,0.37,0,0,0
3Month,0,0.31,0.52,9.26,0.1,0,1.25,1.04,0,0,6.14,1.77,0.21,2.08,0.94,1.98,1.14,1.98,0.52,0,0.42,1.04,1.25,0,0.52,0.31,0,0.21,1.66,216.46,0.21,0.1,0,0.1,0.94,12.48,1.14
22Month,0,0.96,0.41,7.38,0,0,0.41,3.14,1.64,0,10.39,0.96,0.14,2.05,0,0.27,0.68,1.37,0.14,0.68,0.55,0.27,1.5,0,0.27,0.14,33.62,0,0.14,33.21,0.14,0,0,0,0,0,0
