stage,Cardiomyocyte,Endothelial_cell,Enterocyte,Epithelial_cell,Erythrocyte,Erythrocyte__Liver_,Goblet_cell,Granulocyte,Granulosa_cell,Hepatocyte,Immune_cell,Immune_progenitor_cell,Intestinal_bulb_cell,Ionocyte,Keratinocyte,Macrophage,Mesenchymal_cell,Mt_rich_cell,Muscle_cell,Nephron_cell,Neural_cell,Neural_progenitor_cell,Neurosecretory_cell,Oligodendrocyte,Oocyte,Osteoblast,Pancreatic_cell,Primordial_germ_cell,Radial_glia,Smooth_muscle_cell,Spermatocyte,T_cell
24hpf,33,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,3,0,0,0,4,11,0,0,0,0,0,0,0,0,0,0
72hpf,29.59,0,0,0.56,0.28,0,0,0,0,0,0,0,0,0.56,0.85,0,0.85,0.28,0,0,2.25,1.97,0,0,0,0,0,0.28,0.28,0,0,0
21Day,23.31,0,0,0.74,0,0,0,0.37,0,0,0,0,0,0.37,0.74,0,0.37,0,0.74,0,0.37,0,0,0,0,0.74,0,1.48,0,0,0,0
3Month,7.39,0.31,0.21,1.77,0,0,0.42,0.42,0,1.87,0.73,0.1,1.14,0.21,0.52,0.83,0.83,0,1.77,0.52,0,0,0.1,0.1,0,0.1,0.21,39.53,0.42,0.31,47.74,0.73
22Month,2.87,0.27,0,0,0,0.14,0,0,7.11,5.74,0.14,0,0.68,0,0.27,0.14,1.09,0.14,1.91,0,0.14,0,0.14,0.27,0.27,0,0,31.57,5.47,0.27,0.14,0.27
