stage,Cardiomyocyte,Enterocyte,Epithelial_cell,Erythrocyte__Liver_,Erythroid_progenitor_cell,Goblet_cell,Granulocyte,Granulosa_cell,Hepatocyte,Immune_cell,Immune_progenitor_cell,Intestinal_bulb_cell,Ionocyte,Keratinocyte,Macrophage,Mesenchymal_cell,Mesenchymal_cell__caudal_fin_,Muscle_cell,Nephron_cell,Neural_cell,Neural_progenitor_cell,Neurosecretory_cell,Oligodendrocyte,Osteoblast,Pancreatic_cell,Primordial_germ_cell,Radial_glia,Retinal_cone_cell,Smooth_muscle_cell,Spermatocyte,T_cell
24hpf,16,0,3,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0
72hpf,5.07,0,0.28,0,0,0,0,0,0,0,0,0,0.28,0.28,0.28,7.89,0,0,0,17.19,4.23,0,0.28,6.76,0,0.28,0.56,0,0,0,0
21Day,2.96,0,2.22,0,0,0,0,0,0,0,0.37,0.37,0,1.48,0.37,3.33,0,0.74,0,6.66,3.7,0,0.37,1.85,0.74,0.37,0,0.37,0,0,0
3Month,0.1,0,7.28,0,0,0.21,0.62,0,3.12,0.1,0,0.21,0.31,0.83,0.62,6.24,1.04,0.1,0.21,0.42,0.21,0.21,0,0.1,0.21,5.1,0,0,1.35,0.73,2.5
22Month,0.14,0.14,1.64,0.14,0.14,0.27,0.96,6.29,14.89,0.27,0.27,1.09,0,0,0.82,3.96,0,0,0,0.14,0,0,0,0,0.14,2.87,0,0,0,0,2.05
