stage,Cardiomyocyte,Endothelial_cell,Epithelial_cell,Epithelial_cell__Brain_,Erythrocyte,Erythroid_progenitor_cell,Hatching_gland,Hepatocyte,Immune_cell,Immune_progenitor_cell,Intestinal_bulb_cell,Ionocyte,Keratinocyte,Macrophage,Mesenchymal_cell,Mesenchymal_cell__caudal_fin_,Muscle_cell,Nephron_cell,Neural_cell,Neural_progenitor_cell,Neurosecretory_cell,Oligodendrocyte,Osteoblast,Pancreatic_cell,Primordial_germ_cell,Radial_glia,Retinal_cell,Retinal_pigment_epithelial_cell,Smooth_muscle_cell
24hpf,4,2,6,1,0,0,2,0,0,0,0,2,0,2,9,0,0,0,6,837,0,0,1,0,0,0,0,28,0
72hpf,1.69,0.28,1.97,0,0.85,0.28,0,0,0,0,0,0,3.1,0.28,3.1,0,0.28,0,33.26,115.84,0,0.56,3.38,0,0,30.44,0,13.25,0
21Day,1.48,0.37,1.11,0.37,3.33,0.37,0,0.37,0,1.11,0,0.37,0,0.37,2.59,0,0.74,0.37,14.8,86.21,0.37,0,2.22,3.33,0,23.68,0.74,12.21,0
3Month,0,0,0.1,0,0,0,0,0.1,0.1,0,0,0,0,0,0,0.1,0,0,0.21,0,0,0.1,0,0,0.42,0.42,0,0.21,0.1
22Month,0,0,0,0,0,0,0,0.68,0,0,0.14,0,0,0,0.14,0,0,0,0.14,0.14,0,0,0,0,0.96,0.55,0,0,0
