stage,Cardiomyocyte,Endothelial_cell,Enterocyte,Epithelial_cell,Erythrocyte,Erythroid_progenitor_cell,Goblet_cell,Granulocyte,Granulosa_cell,Hatching_gland,Hepatocyte,Immune_cell,Immune_progenitor_cell,Intestinal_bulb_cell,Ionocyte,Keratinocyte,Macrophage,Mesenchymal_cell,Mesenchymal_cell__caudal_fin_,Mt_rich_cell,Muscle_cell,Nephron_cell,Neural_cell,Neural_progenitor_cell,Neurosecretory_cell,Osteoblast,Pancreatic_cell,Primordial_germ_cell,Radial_glia,Retinal_pigment_epithelial_cell,Smooth_muscle_cell,Spermatocyte,T_cell
24hpf,5,0,0,2,0,0,0,0,0,8,0,0,0,0,1,7,7,7,0,0,0,0,4,73,0,3,0,0,0,1,0,0,0
72hpf,0,0.28,0,1.13,0.28,0,0,0.56,0,0,0,0,0.56,0,0.85,0.56,0,1.69,0,0.56,0,0,0.85,2.25,0,2.82,0,0,0.56,1.13,0,0,0
21Day,1.48,0,0,1.85,0.37,0,0,0.37,0,0,0,0,0.37,0,0,0.37,0.74,4.81,0,0,0.37,0,1.11,1.11,0,3.7,0.37,0,0,0.37,0,0,0
3Month,0,0.52,0.1,1.04,0,0.1,0,0.1,0,0,0.73,0.52,0.1,0.21,1.04,0.31,0.62,0.62,0.62,0,0.21,0.62,0,0,0.21,0,0.21,20.39,0.21,0.1,0.21,3.12,0.31
22Month,0.14,0.27,0,0,0,0,0.14,0,0.14,0,1.5,0,0.27,0,0.14,0,0,0,0,0.14,0.14,0.14,0,0,0,0,0,0.82,0,0,0.14,0,0
