stage,Cardiomyocyte,Endothelial_cell,Enterocyte,Epithelial_cell,Erythrocyte__Liver_,Goblet_cell,Granulocyte,Granulosa_cell,Hatching_gland,Hepatocyte,Immune_cell,Intestinal_bulb_cell,Ionocyte,Keratinocyte,Macrophage,Mesenchymal_cell,Mesenchymal_cell__caudal_fin_,Mt_rich_cell,Muscle_cell,Nephron_cell,Neural_cell,Neural_progenitor_cell,Neurosecretory_cell,Oligodendrocyte,Oocyte,Osteoblast,Pancreatic_cell,Primordial_germ_cell,Radial_glia,Smooth_muscle_cell,Spermatocyte,T_cell
24hpf,0,0,0,0,0,0,0,0,12,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
72hpf,0,0,0,1.69,0,0,0,0,0,0,0,0,0,1.13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
21Day,0,0,0,0,0,0,0,0,0,0,0,0,0,1.85,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
3Month,0,0.1,0.21,0.83,0.21,0.62,0.83,0,0,126.69,0.73,2.7,0.31,2.29,0.42,0.62,0.21,0.1,0.52,0.21,0.1,0,0.21,0.21,0,0.21,2.81,0.83,0.1,0.42,0.83,0.1
22Month,0.14,0.14,0.27,1.09,0.27,0.27,1.23,0.27,0,249.25,0.55,1.23,0.27,1.64,1.09,1.09,0.14,3.14,0.27,0,0,0.14,0,0.82,0.27,0.14,0.96,0.14,0.14,0,0,0.27
