stage,Endothelial_cell,Enterocyte,Epithelial_cell,Erythrocyte,Granulocyte,Granulosa_cell,Hepatocyte,Immune_cell,Intestinal_bulb_cell,Ionocyte,Macrophage,Mesenchymal_cell,Muscle_cell,Nephron_cell,Neural_cell,Primordial_germ_cell,Radial_glia,Retinal_cell,Spermatocyte
24hpf,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
72hpf,0.28,0,0,0,0,0,0,0,0,0,0,0.28,0,0,0.28,0,0,0.28,0
21Day,0,0,0,0.37,0,0,0,0,0,0,0,0,0.37,0,0.37,0,0,2.96,0
3Month,0.21,0.1,0.62,0,0,0,0.83,0.31,0.1,0,0.21,0.1,0.1,0.42,0,3.43,0.1,0,1.46
22Month,0,0,0,0,0.55,0.14,3.01,0.14,0.27,0.14,0.27,0.14,0,0,0,0.96,0.14,1.5,0
