stage,Cardiomyocyte,Epithelial_cell,Erythrocyte,Goblet_cell,Granulocyte,Hepatocyte,Immune_cell,Intestinal_bulb_cell,Macrophage,Neural_cell,Neural_progenitor_cell,Osteoblast,Pancreatic_cell,Primordial_germ_cell,Retinal_cell,Retinal_cone_cell,Spermatocyte,T_cell
24hpf,0,0,0,0,0,0,0,0,2,0,7,0,0,0,0,0,0,0
72hpf,0,0,0,0,0,0,0,0,0,5.64,0,0,0,0,5.92,2.25,0,0
21Day,0,0,0.37,0,0,0,0,0,0,1.11,0,0.37,0,0,2.96,4.44,0,0
3Month,0.1,0.52,0,0.31,0.31,0.52,0.42,0.21,0.21,0,0,0,0.1,2.91,0,0,28.92,0.1
22Month,0,0,0,0,0,0.41,0,0,0,0,0,0,0,0.68,0.27,0,0,0
