stage,Cardiomyocyte,Endothelial_cell,Enterocyte,Epithelial_cell,Epithelial_cell__Brain_,Erythrocyte,Erythrocyte__Liver_,Erythroid_progenitor_cell,Granulocyte,Granulosa_cell,Hepatocyte,Immune_cell,Immune_progenitor_cell,Intestinal_bulb_cell,Ionocyte,Keratinocyte,Macrophage,Mesenchymal_cell,Mesenchymal_cell__caudal_fin_,Mt_rich_cell,Muscle_cell,Nephron_cell,Neural_cell,Neural_progenitor_cell,Neurosecretory_cell,Oligodendrocyte,Osteoblast,Pancreatic_cell,Primordial_germ_cell,Radial_glia,Retinal_cell,Retinal_cone_cell,Retinal_pigment_epithelial_cell,Smooth_muscle_cell,Spermatocyte,T_cell
24hpf,1,5,0,5,0,0,0,0,0,0,0,0,0,0,1,0,1,45,0,0,0,1,0,86,0,0,48,0,0,0,0,0,0,0,0,0
72hpf,6.2,4.51,0,3.66,0.56,3.38,0,0,0.28,0,0,0,0,0,1.13,6.48,0.85,27.62,0,0.28,0.28,0.56,501.41,34.39,0.28,2.54,26.78,0,0,5.64,0.28,0.28,1.13,0,0,0
21Day,3.7,1.11,0.37,3.7,0.74,4.44,0,1.11,0,0,0.74,0.37,1.11,0.37,1.11,1.85,1.11,18.5,0,0,0.74,0,145.77,17.02,0.37,2.96,5.18,3.33,0.74,4.07,0.37,0.37,0,0,0,1.11
3Month,0.1,0.94,0.1,1.25,0,0,0,0,0.1,0.1,1.87,0.42,0.1,0.73,0,0.1,0.62,3.85,1.04,0,0.31,0.21,1.77,0.21,0.42,0,0.21,0.21,7.28,0.1,0,0,0,0.21,15.91,0.21
22Month,0,0.41,0,0.55,0,0,0.14,0,0.55,0.14,3.83,0,0,0.82,0,0.14,0.14,2.19,0,0,0.41,0,0.41,0.14,0.41,0.14,0,0,12.71,0,0,0,0,0,0.14,0.14
