stage,Cardiomyocyte,Endothelial_cell,Enterocyte,Epithelial_cell,Epithelial_cell__Brain_,Erythrocyte,Erythrocyte__Liver_,Erythroid_progenitor_cell,Goblet_cell,Granulocyte,Granulosa_cell,Hatching_gland,Hepatocyte,Immune_cell,Immune_progenitor_cell,Intestinal_bulb_cell,Ionocyte,Keratinocyte,Macrophage,Mesenchymal_cell,Mesenchymal_cell__caudal_fin_,Mt_rich_cell,Muscle_cell,Neural_cell,Neural_progenitor_cell,Neurosecretory_cell,Oligodendrocyte,Oocyte,Osteoblast,Pancreatic_cell,Primordial_germ_cell,Radial_glia,Retinal_cell,Retinal_pigment_epithelial_cell,Smooth_muscle_cell,Spermatocyte,T_cell
24hpf,0,2,0,9,1,0,0,0,0,0,0,6,0,0,0,0,1,0,3,11,0,0,0,5,135,0,0,0,0,0,0,0,0,1,0,0,0
72hpf,0.85,0.85,0,0.85,0.56,0.28,0,0.28,0,0,0,0,0,0,0.28,0,0.56,1.41,0,12.12,0,1.41,0.28,78.07,15.5,0,0,0,16.35,0.28,0,1.69,0.28,0.56,0,0,0
21Day,1.11,0,0,6.29,0.37,1.48,0,0.37,0,0,0,0,0.37,0,0.37,0,0,0.37,0,8.51,0,0,3.33,18.13,6.29,0.74,0,0,8.88,1.11,0,0,0,0,0.74,0,0.37
3Month,0.1,0.73,1.14,15.39,0.1,0,0.1,0.52,36.41,0.94,0,0,7.91,1.87,0.73,14.87,0.62,1.46,1.56,7.39,0.1,0,24.13,0.21,0.31,4.26,0.31,0,0.83,0.73,10.3,0,0,0,18.41,0.52,0.83
22Month,0,0.14,1.09,6.15,0,0,0.27,0.41,12.71,0.96,1.23,0,14.76,0.41,0.68,15.58,0.14,0.82,1.23,1.78,0,0.14,3.69,0.14,0.41,3.69,0.27,0.27,0.96,0.14,7.24,0,0,0,1.91,0,0.82
